Provider,PotentialFraud,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,InscClaimAmtReimbursed_count,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,Inpatient,Outpatient,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,FraudBinary,Inpatient_Ratio,Total_Physicians,Amount_Per_Physician,Inpatient_Outpatient_Ratio,Deductible_Ratio,Pct_Male,Unique_Races,Unique_States,Pct_RenalDisease,Pct_Alzheimer,Pct_Heartfailure,Pct_Diabetes
PRV51001,No,104640,4185.6,10796.09,25,5340.0,213.6,5,20,14,5,8,0,0.2,19,5507.368421052632,0.23809523809523808,0.05103162240422014,0.375,2,1,0.3333,1.4167,1.25,1.1667
PRV51003,Yes,605670,4588.41,7309.79,132,66286.0,502.17,62,70,44,7,22,1,0.4696969696969697,51,11875.882352941177,0.8732394366197183,0.10944225495359693,0.4188,3,3,0.188,1.6239,1.4017,1.2564
PRV51004,No,52170,350.13,689.96,149,310.0,2.08,0,149,38,19,26,0,0.0,57,915.2631578947369,0.0,0.0059419984282455774,0.3261,3,9,0.1449,1.5652,1.4058,1.3043
PRV51005,Yes,280910,241.12,491.56,1165,3700.0,3.18,0,1165,6,6,4,1,0.0,12,23409.166666666668,0.0,0.013171431521015553,0.4202,3,4,0.1596,1.6667,1.4687,1.3657
PRV51007,No,33710,468.19,1433.77,72,3264.0,45.33,3,69,10,5,7,0,0.041666666666666664,15,2247.3333333333335,0.04285714285714286,0.09682299546142209,0.4655,2,2,0.1552,1.6379,1.4828,1.3793
PRV51008,No,35630,828.6,3224.77,43,2316.0,53.86,2,41,10,5,5,0,0.046511627906976744,15,2375.3333333333335,0.047619047619047616,0.06499957901827061,0.4444,2,2,0.2222,1.6111,1.4167,1.3056
PRV51011,No,16630,286.72,701.05,58,1368.0,23.59,1,57,28,10,15,0,0.017241379310344827,38,437.63157894736844,0.017241379310344827,0.08225602789970538,0.4528,2,1,0.2075,1.566,1.3585,1.3019
PRV51012,No,16890,351.88,707.89,48,100.0,2.08,0,48,14,3,13,0,0.0,17,993.5294117647059,0.0,0.005920312592504884,0.2581,2,3,0.1613,1.6774,1.4516,1.3871
PRV51013,No,14880,323.48,471.62,46,230.0,5.0,0,46,9,5,4,0,0.0,14,1062.857142857143,0.0,0.015455950540958269,0.2727,2,2,0.25,1.6591,1.4318,1.1818
PRV51014,No,10480,349.33,822.98,30,120.0,4.0,0,30,7,6,8,0,0.0,13,806.1538461538462,0.0,0.01144928918996279,0.28,2,2,0.24,1.56,1.48,1.4
